Index,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1351,0.843,0.435,8,-8.442,1,0.178,0.47,0,0.147,0.19,120.058,audio_features,6GnhWMhgJb7uyiiPEiEkDA,spotify:track:6GnhWMhgJb7uyiiPEiEkDA,https://api.spotify.com/v1/tracks/6GnhWMhgJb7uyiiPEiEkDA,https://api.spotify.com/v1/audio-analysis/6GnhWMhgJb7uyiiPEiEkDA,208080,4
1352,0.642,0.56,7,-15.123,1,0.0848,0.0541,0.752,0.131,0.499,130.003,audio_features,6J9FgTr3z44Bw6ABeVL415,spotify:track:6J9FgTr3z44Bw6ABeVL415,https://api.spotify.com/v1/tracks/6J9FgTr3z44Bw6ABeVL415,https://api.spotify.com/v1/audio-analysis/6J9FgTr3z44Bw6ABeVL415,222333,4
1353,0.611,0.571,2,-8.833,1,0.167,0.0457,0,0.127,0.35,115.01,audio_features,51cqtusY2TwC6mbN8Vz8iA,spotify:track:51cqtusY2TwC6mbN8Vz8iA,https://api.spotify.com/v1/tracks/51cqtusY2TwC6mbN8Vz8iA,https://api.spotify.com/v1/audio-analysis/51cqtusY2TwC6mbN8Vz8iA,118560,4
1354,0.681,0.516,0,-9.615,0,0.174,0.00616,1.50E-05,0.213,0.289,142.854,audio_features,6AMerC082fjjuHt8AzivTO,spotify:track:6AMerC082fjjuHt8AzivTO,https://api.spotify.com/v1/tracks/6AMerC082fjjuHt8AzivTO,https://api.spotify.com/v1/audio-analysis/6AMerC082fjjuHt8AzivTO,187972,4
1355,0.794,0.792,7,-6.889,1,0.186,0.22,0,0.0998,0.546,126.994,audio_features,5nCL0ULKVpkeJdQJ4UYVAI,spotify:track:5nCL0ULKVpkeJdQJ4UYVAI,https://api.spotify.com/v1/tracks/5nCL0ULKVpkeJdQJ4UYVAI,https://api.spotify.com/v1/audio-analysis/5nCL0ULKVpkeJdQJ4UYVAI,188976,4
1356,0.43,0.522,1,-10.372,1,0.0768,0.117,0.31,0.952,0.087,113.807,audio_features,2WxzLbJfPA2vJGxQiKd7Jq,spotify:track:2WxzLbJfPA2vJGxQiKd7Jq,https://api.spotify.com/v1/tracks/2WxzLbJfPA2vJGxQiKd7Jq,https://api.spotify.com/v1/audio-analysis/2WxzLbJfPA2vJGxQiKd7Jq,218547,4
1357,0.696,0.583,3,-9.351,0,0.301,0.308,0,0.0964,0.524,137.079,audio_features,0rBMP6VVGRgwnzZCLpijyl,spotify:track:0rBMP6VVGRgwnzZCLpijyl,https://api.spotify.com/v1/tracks/0rBMP6VVGRgwnzZCLpijyl,https://api.spotify.com/v1/audio-analysis/0rBMP6VVGRgwnzZCLpijyl,227427,4
1358,0.598,0.252,2,-15.086,1,0.0644,0.194,0.133,0.0992,0.0352,120.064,audio_features,4S7YHmlWwfwArgd8LfSPud,spotify:track:4S7YHmlWwfwArgd8LfSPud,https://api.spotify.com/v1/tracks/4S7YHmlWwfwArgd8LfSPud,https://api.spotify.com/v1/audio-analysis/4S7YHmlWwfwArgd8LfSPud,238307,4
1359,0.781,0.738,0,-3.611,0,0.0817,0.37,0,0.0848,0.539,120.548,audio_features,0NFCFdJxEGCGO6EGkFCGgF,spotify:track:0NFCFdJxEGCGO6EGkFCGgF,https://api.spotify.com/v1/tracks/0NFCFdJxEGCGO6EGkFCGgF,https://api.spotify.com/v1/audio-analysis/0NFCFdJxEGCGO6EGkFCGgF,227080,4
1360,0.801,0.819,11,-5.189,1,0.158,0.292,0,0.515,0.811,139.969,audio_features,0O3TAouZE4vL9dM5SyxgvH,spotify:track:0O3TAouZE4vL9dM5SyxgvH,https://api.spotify.com/v1/tracks/0O3TAouZE4vL9dM5SyxgvH,https://api.spotify.com/v1/audio-analysis/0O3TAouZE4vL9dM5SyxgvH,236280,4
1361,0.489,0.878,2,-3.36,1,0.368,0.351,0,0.698,0.775,81.497,audio_features,1eLU27PPFxBhbp1CBjPh9J,spotify:track:1eLU27PPFxBhbp1CBjPh9J,https://api.spotify.com/v1/tracks/1eLU27PPFxBhbp1CBjPh9J,https://api.spotify.com/v1/audio-analysis/1eLU27PPFxBhbp1CBjPh9J,372173,4
1362,0.757,0.848,2,-4.234,1,0.335,0.0481,0,0.121,0.686,139.995,audio_features,2rzBvHM9h36Tpdj7Jdajka,spotify:track:2rzBvHM9h36Tpdj7Jdajka,https://api.spotify.com/v1/tracks/2rzBvHM9h36Tpdj7Jdajka,https://api.spotify.com/v1/audio-analysis/2rzBvHM9h36Tpdj7Jdajka,212640,4
1363,0.697,0.849,10,-4.953,0,0.248,0.228,4.52E-05,0.493,0.734,81.956,audio_features,31G9RaSaDOI2NWcpnIp734,spotify:track:31G9RaSaDOI2NWcpnIp734,https://api.spotify.com/v1/tracks/31G9RaSaDOI2NWcpnIp734,https://api.spotify.com/v1/audio-analysis/31G9RaSaDOI2NWcpnIp734,192067,4
1364,0.706,0.525,3,-7.472,1,0.204,0.0192,9.78E-05,0.112,0.0773,140.142,audio_features,375YEKrb4JSu03HPzwOFfJ,spotify:track:375YEKrb4JSu03HPzwOFfJ,https://api.spotify.com/v1/tracks/375YEKrb4JSu03HPzwOFfJ,https://api.spotify.com/v1/audio-analysis/375YEKrb4JSu03HPzwOFfJ,260760,4
1365,0.853,0.693,1,-6.87,1,0.275,0.0239,0,0.11,0.662,95.967,audio_features,4X5f3vT8MRuXF68pfjNte5,spotify:track:4X5f3vT8MRuXF68pfjNte5,https://api.spotify.com/v1/tracks/4X5f3vT8MRuXF68pfjNte5,https://api.spotify.com/v1/audio-analysis/4X5f3vT8MRuXF68pfjNte5,233787,4
1366,0.49,0.921,6,-3.373,1,0.437,0.288,0,0.482,0.497,150.514,audio_features,57pOLYHz6mt5aMkOXa2Gis,spotify:track:57pOLYHz6mt5aMkOXa2Gis,https://api.spotify.com/v1/tracks/57pOLYHz6mt5aMkOXa2Gis,https://api.spotify.com/v1/audio-analysis/57pOLYHz6mt5aMkOXa2Gis,237733,4
1367,0.668,0.489,7,-9.13,1,0.137,0.115,0,0.184,0.258,142.226,audio_features,5Uc07fEUpjjFcLEIleEHkJ,spotify:track:5Uc07fEUpjjFcLEIleEHkJ,https://api.spotify.com/v1/tracks/5Uc07fEUpjjFcLEIleEHkJ,https://api.spotify.com/v1/audio-analysis/5Uc07fEUpjjFcLEIleEHkJ,231787,4
